,Name,ra_epoch2000,dec_epoch2000,RA,DEC,Tmag,parallax,parallax_error,distL1350,MG,bp_rp,LS_Period,Log10_LS_Prob,Amplitude,Duration,flares,flarerate,teff_val,BC,L,Lergs,MeanAmp,MeanEnergy,MeanFlareDuration,MinAmp,MinEnergy,MinFlareDuration,MaxAmp,MaxEnergy,MaxFlareDuration
51,257567390,52.8114405219461,-21.2907588467119,03:31:14.75,-21:17:26.7,12.46,26.3291,0.061,37.9811913279724,10.97440608595575,2.991097,0.61893714,-3586.68117,0.02471,21.914253000000002,15,0.6844860283396381,3866.89990234375,-0.44457,0.0048313173733052,1.739274254389872e+31,0.088,5.2e+32,12.1,0.019,1.1e+32,6.0,0.328,1.1e+33,32.0
52,142960339,53.463778211755,-35.5277961381569,03:33:51.31,-35:31:40.1,12.92,1.9942,0.216,511.37285771579855,10.230513634355225,2.599007,0.49773272,-1135.48375,0.01588,21.851748,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,301463279,53.7867951795083,-5.7737635778729,03:35:08.83,-05:46:25.5,12.84,13.1778,0.0532,75.887605068786,9.71316576412076,2.522588,0.19066885,-132.68326,0.00419,21.89064,0,0.0,3500.5,-0.71602,0.019821736090332463,7.135824992519687e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,416740234,53.9717986902292,10.2858585792062,03:35:53.23,+10:17:09.1,12.2,48.6772,0.0751,20.543595859862762,12.049629685530382,2.995297,0.59923012,-1248.63614,0.00804,24.489459,1,0.04083389510564525,3604.10009765625,-0.63836,0.002145320264999895,7.723152953999622e+30,0.074,1.3e+32,6.0,0.074,1.3e+32,6.0,0.074,1.3e+32,6.0
55,262924431,54.0152810805912,-60.6664398079676,03:36:03.67,-60:39:59.2,13.72,17.3951,0.0542,57.48854585312557,11.427827382492033,3.003193,0.89680434,-570.69932,0.00983,44.104917,1,0.022673208975770208,3918.699951171875,-0.40545,0.0030693685693662866,1.1049726849718632e+31,0.114,4.5e+32,8.0,0.114,4.5e+32,8.0,0.114,4.5e+32,8.0
56,197847859,55.082725149731,-54.2765144774124,03:40:19.85,-54:16:35.5,13.62,19.0873,0.0536,52.391667017168686,11.455405913959964,2.988778,0.5673048,-1918.92392,0.01694,40.592136,4,0.09854125439469358,4305.5,-0.20846,0.002495868130827201,8.985125270977925e+30,0.187,5.5e+32,13.5,0.039,1.2e+32,6.0,0.466,1.6e+33,36.0
57,237918270,56.6040065239739,-62.7732040170827,03:46:24.96,-62:46:23.5,13.66,18.1689,0.0402,55.039633194368776,11.357168345355497,3.03713,0.31717793,-501.16283,0.01369,86.912508,1,0.011505823764745116,4112.53,-0.30135,0.002976272289368212,1.0714580241725565e+31,0.057,2.1e+32,6.0,0.057,2.1e+32,6.0,0.057,2.1e+32,6.0
58,121091696,57.1670100518933,-18.3061631563273,03:48:40.08,-18:18:22.2,13.36,24.8615,0.0627,40.22333855519378,11.717479428029469,2.973959,0.47936572,-309.30082,0.00912,21.926754,0,0.0,3375.27,-0.87929,0.0036368402315339957,1.3092624833522386e+31,,,,,,,,,
59,401945770,57.665050266655,-3.8985031289919,03:50:39.61,-03:53:54.6,11.06,18.7002,0.0381,53.475799071279084,8.478171585941654,2.042317,0.68642106,-2226.62767,0.01439,24.486681,7,0.28586969381436383,4074.89990234375,-0.32183,0.042999496216868556,1.5479818638072682e+32,0.02,9.8e+32,7.7,0.01,4.6e+32,6.0,0.043,1.6e+33,12.0
60,32068898,57.6811152723324,-69.8247459988422,03:50:43.47,-69:49:29.1,13.79,16.0825,0.0463,62.1803945265853,11.210210633707991,2.9774,0.67907389,-998.79243,0.02078,252.88134,13,0.05140750994122382,3928.11,-0.40984,0.0037657522271599716,1.35567080177759e+31,0.273,2e+33,15.1,0.054,2.2e+32,6.0,0.807,9.7e+33,56.0
61,388977683,57.7493329284265,11.9921401745321,03:50:59.84,+11:59:31.7,12.25,12.6123,0.0505,79.29014729956663,8.908826876733203,2.262435,0.25463044,-5557.14203,0.03542,24.48807,9,0.3675259013879003,3920.87,-0.41453,0.0314978748376505,1.133923494155418e+32,0.084,3.3e+33,9.1,0.021,8e+32,6.0,0.247,1.2e+34,18.0
62,89205615,58.0978435709711,-28.4387733750101,03:52:23.48,-28:26:19.6,11.17,20.0363,0.0304,49.90963995381037,8.848860815529878,2.205542,0.34855052,-6397.44846,0.06547,21.917031,10,0.4562661794838908,3892.98,-0.43292,0.03385506697922817,1.2187824112522141e+32,0.039,1.5e+33,9.2,0.012,4.4e+32,6.0,0.092,3e+33,14.0
63,178241984,58.9661111086904,-20.6859760903012,03:55:51.87,-20:41:09.5,13.85,23.99,0.067,41.684675257720016,12.10678488751095,3.289881,0.87230185,-518.65845,0.01287,46.412046000000004,0,0.0,3783.300048828125,-0.50673,0.0018029266280162669,6.490535860858561e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,457191730,59.249284057069,5.2848866972642,03:56:59.83,+05:17:05.6,13.67,26.6019,0.1089,37.59254234338982,12.20797051211077,3.167119,0.64066301,-100.46559,0.00558,24.493626,2,0.08165389640553833,3435.02,-0.81649,0.002184780409755916,7.865209475121299e+30,0.074,1.8e+32,6.0,0.069,1.8e+32,6.0,0.078,1.8e+32,6.0
65,44646061,59.3290817456727,-27.1851261058588,03:57:18.98,-27:11:06.5,13.48,27.8569,0.0604,35.89808189542509,12.044777780017485,3.086424,0.49612572,-1420.08683,0.02214,46.402323,3,0.06465193563692921,3521.300048828125,-0.70024,0.0022813131002504005,8.212727160901442e+30,0.088,2.2e+32,6.0,0.064,1.8e+32,6.0,0.124,2.9e+32,6.0
66,242985065,59.5598526211442,12.6280236986279,03:58:14.36,+12:37:40.9,13.56,21.9461,0.1025,45.568137169723855,11.817849625295546,3.214545,0.86779013,-781.90658,0.02075,24.490848,5,0.20415789604345264,3541.199951171875,-0.68521,0.0027729634528943976,9.982668430419832e+30,0.689,2.8e+33,14.4,0.171,6.7e+32,6.0,2.352,7.4e+33,36.0
67,237940278,59.7237487869208,-64.1644869205919,03:58:53.70,-64:09:52.2,13.88,15.6845,0.0437,63.75817906499037,10.963252474474356,2.758553,0.93692355,-71.39532,0.00494,156.995892,1,0.0063695934158582955,4032.24,-0.34606,0.004457824978163951,1.6048169921390224e+31,0.193,1.9e+33,14.0,0.193,1.9e+33,14.0,0.193,1.9e+33,14.0
68,198034151,60.8913166871946,-55.4986511800358,04:03:33.92,-55:29:55.1,13.11,14.8784,0.0388,67.21241955354174,10.305417351605092,2.79292,0.93545553,-1558.55485,0.01036,44.111862,7,0.15868747503789343,3544.300048828125,-0.68291,0.011142870144218327,4.011433251918598e+31,0.07,1.1e+33,8.0,0.025,3.3e+32,6.0,0.192,4.3e+33,18.0
69,44795539,62.1679940912891,-27.0964900540646,04:08:40.32,-27:05:47.4,12.55,31.0144,0.0455,32.24322421729653,11.397896683316235,3.023727,0.49381807,-4301.69284,0.01473,46.403712,1,0.02155000013792,3861.0,-0.449,0.0032842887074638,1.182343934686968e+31,0.068,3.6e+32,12.0,0.068,3.6e+32,12.0,0.068,3.6e+32,12.0
70,152475404,62.3847656764297,-44.5942819385008,04:09:32.34,-44:35:39.4,11.22,68.0681,0.0427,14.691181078404725,11.828419441329551,3.173441,0.427707,-378.92958,0.00205,46.37871,40,0.8624646955467282,3426.300048828125,-0.77342,0.002978517896842153,1.0722664428631752e+31,0.059,1.6e+32,8.3,0.008,2.9e+31,6.0,0.446,7.5e+32,18.0
71,168750720,62.6598000541842,-30.5936833032183,04:10:38.35,-30:35:37.3,13.54,17.9577,0.0484,55.68721101297314,11.234162661853658,2.924472,0.77453109,-348.85749,0.01209,46.395378,3,0.06466161349089558,3858.2,-0.45658,0.003845625071203182,1.3844250256331456e+31,0.081,9e+32,18.0,0.063,5.1e+32,8.0,0.091,1.4e+33,24.0
72,250131154,63.0573617426268,-1.5652236676355,04:12:13.77,-01:33:54.8,13.5,27.473,0.102,36.40036394374846,12.151523370494896,3.173146,0.6774666,-502.07289,0.01012,24.493626,1,0.040826948202769164,3488.199951171875,-0.72539,0.002116151022627062,7.618143681457423e+30,0.21,4.8e+32,10.0,0.21,4.8e+32,10.0,0.21,4.8e+32,10.0
