,Unnamed: 0,Name,ra_epoch2000,dec_epoch2000,RA,DEC,Tmag,parallax,parallax_error,distL1350,MG,bp_rp,LS_Period,Log10_LS_Prob,Amplitude,Duration,flares,flarerate,teff_val,BC,L,Lergs,MeanAmp,MeanEnergy,MeanFlareDuration,MinAmp,MinEnergy,MinFlareDuration,MaxAmp,MaxEnergy,MaxFlareDuration,star_radius,star_mass,star_logg
33,36,35857994,41.5538984507533,-4.3323646049478,02:46:12.94,-04:19:56.5,12.49,20.5603,0.0954,48.63947934929769,10.374899412605185,2.717012,0.59747616,-132.20447,0.00269,21.898974,0,0.0,3786.60009765625,-0.5043,0.0088666636524088,3.191998914867182e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354137,0.338986,4.86991
34,37,220522527,42.3036865173888,-62.469588343754,02:49:12.88,-62:28:10.5,13.7,17.4385,0.0396,57.34496055076477,11.089370708443797,2.918407,0.96474223,-795.15174,0.01575,69.26109600000001,3,0.0433143593338459,3740.81,-0.54263,0.0047566776735136,1.7124039624649182e+31,0.07,5.1999999999999996e+32,9.3,0.058,3.1e+32,6.0,0.091,7.3e+32,14.0,0.285583,0.260256,4.942
35,38,368644381,43.5252897400266,5.4533778798023,02:54:06.07,+05:27:12.2,13.18,19.6772,0.0663,50.82137088007954,10.923699121297988,2.839492,0.64029808,-2285.33047,0.02551,21.885084,1,0.0456932219222919,3965.5,-0.3695,0.0047241138554781,1.7006809879721272e+31,0.087,7.8e+32,12.0,0.087,7.8e+32,12.0,0.087,7.8e+32,12.0,0.298737,0.275178,4.9271
36,39,23126920,45.9558179183686,-11.3280753260496,03:03:49.40,-11:19:41.1,12.44,23.6976,0.0891,42.199540584867634,10.739584385303358,2.93133,0.70655465,-1465.13417,0.01285,21.832302,5,0.2290184516502199,3692.39990234375,-0.57345,0.0067537698570519,2.4313571485387045e+31,0.098,6.899999999999999e+32,7.2,0.056,3.4e+32,6.0,0.211,1.2e+33,10.0,0.331149,0.312419,4.89276
37,40,439913926,46.2580080007502,-5.9083756323487,03:05:01.92,-05:54:30.2,13.14,32.5067,0.1171,30.76367823332049,12.16711169855779,3.220674,0.40264976,-1025.48531,0.01802,21.889251,7,0.319791663954148,3552.71,-0.70201,0.0020415466631597,7.349567987375127e+30,0.433,1.8e+33,23.7,0.048,1e+32,6.0,1.06,4.9e+33,52.0,0.205302,0.174262,5.05448
38,41,207171025,46.4013365364238,-59.8341268640878,03:05:36.32,-59:50:02.9,13.91,25.1626,0.0682,39.7420964602091,12.57003513440917,3.364122,0.68110085,-706.74993,0.0132,44.121585,3,0.0679939308617312,3981.800048828125,-0.35676,0.0010249199443306,3.689711799590162e+30,0.268,3e+32,7.3,0.056,6.9e+31,6.0,0.546,6.6e+32,10.0,0.185996,0.155388,5.09048
39,42,301020663,46.7072516309607,-47.0200496046812,03:06:49.74,-47:01:12.2,13.12,18.6107,0.0391,53.732995125301386,10.830893753964888,2.868515,0.64953199,-238.35788,0.00601,18.683439,10,0.5352333689745233,3847.35,-0.46413,0.0056142856331707,2.0211428279414656e+31,0.113,1.2e+33,13.4,0.025,2.2e+32,6.0,0.414,6e+33,40.0,0.31467,0.293423,4.90985
40,43,137861381,48.1083379809069,-22.1837550127122,03:12:26.00,-22:11:01.5,13.76,23.5625,0.1274,42.4427610219098,11.978663858823248,3.091002,0.32457156,-316.58568,0.00936,21.921198,0,0.0,3675.699951171875,-0.58571,0.0021818176570583,7.854543565409934e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212903,0.181912,5.04157
41,44,370138553,48.6128813718651,-74.1422663068229,03:14:27.09,-74:08:32.2,13.72,14.0614,0.2879,71.17482210954229,10.817728048157637,2.901697,0.9044096,-1340.28198,0.00969,98.363424,0,0.0,4154.7998046875,-0.27932,0.0047933239524019,1.7255966228646995e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31766,0.296861,4.9067
42,45,207211020,48.942722866792,-59.0914105165691,03:15:46.25,-59:05:29.1,13.85,23.9215,0.0583,41.80388753348296,12.171712646647018,3.156333,0.25781461,-1495.05454,0.0151,44.109084,0,0.0,3669.39990234375,-0.59027,0.0018340996773485,6.602758838454853e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204268,0.173231,5.05629
43,46,176852837,49.7362630856976,-34.5549529652449,03:18:56.70,-34:33:17.8,12.58,32.8074,0.0585,30.481119729856232,11.574927415736065,3.064909,0.33546909,-1424.13865,0.01237,21.83508,0,0.0,3642.94,-0.6221,0.0032724199523967,1.1780711828628417e+31,,,,,,,,,,0.248825,0.21959,4.98789
44,47,207238086,50.0736704437708,-55.6054852862061,03:20:17.68,-55:36:19.7,12.45,44.245,0.052,22.60148580469945,12.06381204860554,3.049033,0.4606143,-3082.7292,0.01,47.357955,0,0.0,3636.60009765625,-0.61439,0.002071243634859,7.456477085492658e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201137,0.170122,5.06184
45,49,142884342,51.6563735390121,-32.337101118039,03:26:37.53,-32:20:13.6,13.17,14.6984,0.0573,68.03663192136611,10.35070696899005,2.823207,0.40142201,-249.96618,0.01611,21.880917,0,0.0,4144.60009765625,-0.28452,0.0074050025513646,2.665800918491281e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362644,0.348803,4.86169
46,50,314825931,52.2775307872106,-75.5295746884125,03:29:06.61,-75:31:46.5,13.41,14.0283,0.0351,71.28534395337738,10.45358575287575,2.696538,0.79040547,-1997.1124,0.02606,100.131621,7,0.0699079864092083,3809.59,-0.49103,0.0081466245549172,2.932784839770227e+31,0.15,1.5000000000000002e+33,8.6,0.06,5.9e+32,6.0,0.306,4.1e+33,16.0,0.345039,0.328474,4.87883
47,51,257567390,52.8114405219461,-21.2907588467119,03:31:14.75,-21:17:26.7,12.46,26.3291,0.061,37.9811913279724,10.97440608595575,2.991097,0.61893714,-3586.68117,0.02471,21.914253,15,0.6844860283396381,3866.89990234375,-0.44457,0.0048313173733052,1.739274254389872e+31,0.088,5.1999999999999996e+32,12.1,0.019,1.1e+32,6.0,0.328,1.1000000000000001e+33,32.0,0.309353,0.287317,4.91552
48,52,142960339,53.463778211755,-35.5277961381569,03:33:51.31,-35:31:40.1,12.92,1.9942,0.216,511.37285771579855,10.230513634355225,2.599007,0.49773272,-1135.48375,0.01588,21.851748,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.491,0.526,4.77725
49,53,301463279,53.7867951795083,-5.7737635778729,03:35:08.83,-05:46:25.5,12.84,13.1778,0.0532,75.887605068786,9.71316576412076,2.522588,0.19066885,-132.68326,0.00419,21.89064,0,0.0,3500.5,-0.71602,0.0198217360903324,7.135824992519687e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421548,0.415578,4.80703
50,54,416740234,53.9717986902292,10.2858585792062,03:35:53.23,+10:17:09.1,12.2,48.6772,0.0751,20.54359585986276,12.049629685530382,2.995297,0.59923012,-1248.63614,0.00804,24.489459,1,0.0408338951056452,3604.10009765625,-0.63836,0.0021453202649998,7.723152953999622e+30,0.074,1.2999999999999999e+32,6.0,0.074,1.2999999999999999e+32,6.0,0.074,1.2999999999999999e+32,6.0,0.195659,0.164733,5.07185
51,55,262924431,54.0152810805912,-60.6664398079676,03:36:03.67,-60:39:59.2,13.72,17.3951,0.0542,57.48854585312557,11.427827382492032,3.003193,0.89680434,-570.69932,0.00983,44.104917,1,0.0226732089757702,3918.699951171875,-0.40545,0.0030693685693662,1.1049726849718632e+31,0.114,4.4999999999999996e+32,8.0,0.114,4.4999999999999996e+32,8.0,0.114,4.4999999999999996e+32,8.0,0.259746,0.231483,4.97349
52,56,197847859,55.082725149731,-54.2765144774124,03:40:19.85,-54:16:35.5,13.62,19.0873,0.0536,52.391667017168686,11.455405913959964,2.988778,0.5673048,-1918.92392,0.01694,40.592136,4,0.0985412543946935,4305.5,-0.20846,0.0024958681308272,8.985125270977925e+30,0.187,5.5e+32,13.5,0.039,1.2e+32,6.0,0.466,1.6e+33,36.0,0.259012,0.230678,4.97443
53,57,237918270,56.6040065239739,-62.7732040170827,03:46:24.96,-62:46:23.5,13.66,18.1689,0.0402,55.039633194368776,11.357168345355497,3.03713,0.31717793,-501.16283,0.01369,86.912508,1,0.0115058237647451,4112.53,-0.30135,0.0029762722893682,1.0714580241725565e+31,0.057,2.1e+32,6.0,0.057,2.1e+32,6.0,0.057,2.1e+32,6.0,0.268317,0.240936,4.96267
54,58,121091696,57.1670100518933,-18.3061631563273,03:48:40.08,-18:18:22.2,13.36,24.8615,0.0627,40.22333855519378,11.717479428029469,2.973959,0.47936572,-309.30082,0.00912,21.926754,0,0.0,3375.27,-0.87929,0.0036368402315339,1.3092624833522386e+31,,,,,,,,,,0.229533,0.199058,5.01536
55,59,401945770,57.665050266655,-3.8985031289919,03:50:39.61,-03:53:54.6,11.06,18.7002,0.0381,53.47579907127909,8.478171585941654,2.042317,0.68642106,-2226.62767,0.01439,24.486681,7,0.2858696938143638,4074.89990234375,-0.32183,0.0429994962168685,1.5479818638072682e+32,0.02,9.8e+32,7.7,0.01,4.6e+32,6.0,0.043,1.6e+33,12.0,0.557189,0.551675,4.68775
56,60,32068898,57.6811152723324,-69.8247459988422,03:50:43.47,-69:49:29.1,13.79,16.0825,0.0463,62.1803945265853,11.210210633707993,2.9774,0.67907389,-998.79243,0.02078,252.88134,13,0.0514075099412238,3928.11,-0.40984,0.0037657522271599,1.35567080177759e+31,0.273,2e+33,15.1,0.054,2.2e+32,6.0,0.807,9.700000000000001e+33,56.0,0.275294,0.248703,4.95415
57,61,388977683,57.7493329284265,11.9921401745321,03:50:59.84,+11:59:31.7,12.25,12.6123,0.0505,79.29014729956663,8.908826876733203,2.262435,0.25463044,-5557.14203,0.03542,24.48807,9,0.3675259013879003,3920.87,-0.41453,0.0314978748376505,1.133923494155418e+32,0.084,3.3000000000000003e+33,9.1,0.021,8e+32,6.0,0.247,1.2e+34,18.0,0.523383,0.520684,4.717
58,62,89205615,58.0978435709711,-28.4387733750101,03:52:23.48,-28:26:19.6,11.17,20.0363,0.0304,49.90963995381037,8.848860815529878,2.205542,0.34855052,-6397.44846,0.06547,21.917031,10,0.4562661794838908,3892.98,-0.43292,0.0338550669792281,1.218782411252214e+32,0.039,1.5000000000000002e+33,9.2,0.012,4.4e+32,6.0,0.092,3e+33,14.0,0.52517,0.522373,4.71545
59,63,178241984,58.9661111086904,-20.6859760903012,03:55:51.87,-20:41:09.5,13.85,23.99,0.067,41.684675257720016,12.10678488751095,3.289881,0.87230185,-518.65845,0.01287,46.412046,0,0.0,3783.300048828125,-0.50673,0.0018029266280162,6.490535860858561e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212224,0.181224,5.04269
60,64,457191730,59.249284057069,5.2848866972642,03:56:59.83,+05:17:05.6,13.67,26.6019,0.1089,37.59254234338982,12.20797051211077,3.167119,0.64066301,-100.46559,0.00558,24.493626,2,0.0816538964055383,3435.02,-0.81649,0.0021847804097559,7.865209475121299e+30,0.074,1.8e+32,6.0,0.069,1.8e+32,6.0,0.078,1.8e+32,6.0,0.199785,0.168786,5.06428
61,65,44646061,59.3290817456727,-27.1851261058588,03:57:18.98,-27:11:06.5,13.48,27.8569,0.0604,35.89808189542509,12.044777780017483,3.086424,0.49612572,-1420.08683,0.02214,46.402323,3,0.0646519356369292,3521.300048828125,-0.70024,0.0022813131002504,8.212727160901442e+30,0.088,2.2e+32,6.0,0.064,1.8e+32,6.0,0.124,2.9e+32,6.0,0.20537,0.17433,5.05437
62,66,242985065,59.5598526211442,12.6280236986279,03:58:14.36,+12:37:40.9,13.56,21.9461,0.1025,45.568137169723855,11.817849625295546,3.214545,0.86779013,-781.90658,0.02075,24.490848,5,0.2041578960434526,3541.199951171875,-0.68521,0.0027729634528943,9.982668430419832e+30,0.689,2.8e+33,14.4,0.171,6.7e+32,6.0,2.352,7.400000000000001e+33,36.0,0.237492,0.20745,5.00368
63,67,237940278,59.7237487869208,-64.1644869205919,03:58:53.70,-64:09:52.2,13.88,15.6845,0.0437,63.75817906499037,10.963252474474356,2.758553,0.93692355,-71.39532,0.00494,156.995892,1,0.0063695934158582,4032.24,-0.34606,0.0044578249781639,1.6048169921390224e+31,0.193,1.9e+33,14.0,0.193,1.9e+33,14.0,0.193,1.9e+33,14.0,0.283056,0.257408,4.94494
64,68,198034151,60.8913166871946,-55.4986511800358,04:03:33.92,-55:29:55.1,13.11,14.8784,0.0388,67.21241955354174,10.305417351605092,2.79292,0.93545553,-1558.55485,0.01036,44.111862,7,0.1586874750378934,3544.300048828125,-0.68291,0.0111428701442183,4.011433251918598e+31,0.07,1.1000000000000001e+33,8.0,0.025,3.3e+32,6.0,0.192,4.3e+33,18.0,0.369044,0.35617,4.85557
65,69,44795539,62.1679940912891,-27.0964900540646,04:08:40.32,-27:05:47.4,12.55,31.0144,0.0455,32.24322421729653,11.397896683316237,3.023727,0.49381807,-4301.69284,0.01473,46.403712,1,0.02155000013792,3861.0,-0.449,0.0032842887074638,1.182343934686968e+31,0.068,3.6e+32,12.0,0.068,3.6e+32,12.0,0.068,3.6e+32,12.0,0.263088,0.235157,4.96922
66,70,152475404,62.3847656764297,-44.5942819385008,04:09:32.34,-44:35:39.4,11.22,68.0681,0.0427,14.691181078404725,11.828419441329553,3.173441,0.427707,-378.92958,0.00205,46.37871,40,0.8624646955467282,3426.300048828125,-0.77342,0.0029785178968421,1.0722664428631752e+31,0.059,1.6e+32,8.3,0.008,2.9e+31,6.0,0.446,7.5e+32,18.0,0.234699,0.204492,5.00772
